"","species","count"
"276","Bombus sporadicus",2576
"277","Bombus subterraneus",4994
"278","Bombus sylvarum",16198
"279","Bombus ternarius",27150
"280","Bombus terrestris",190780
"281","Bombus terricola",21825
"282","Bombus vagans",22807
"283","Bombus veteranus",4414
"284","Bombus wurflenii",7767
"285","Bombus zonatus",119
"286","Camptopoeum friesei",132
"287","Camptopoeum frontale",126
"288","Camptopoeum sacrum",4
"289","Capicola aliciae",38
"290","Capicola micheneri",26
"291","Capicola nanula",12
"292","Capicola rufiventris",24
"293","Centris nitida",1072
"294","Ceratina calcarata",14476
"295","Ceratina dupla",6687
"296","Ceratina mikmaqi",4024
"297","Chalepogenus cocuccii",59
"298","Chelostoma aureocinctum",12
"299","Chelostoma californicum",780
"300","Chelostoma campanularum",8203
"301","Chelostoma carinulum",1
"302","Chelostoma diodon",14
"303","Chelostoma distinctum",903
"304","Chelostoma edentulum",1
"305","Chelostoma emarginatum",72
"306","Chelostoma florisomne",8958
"307","Chelostoma foveolatum",84
"308","Chelostoma garrulum",2
"309","Chelostoma grande",344
"310","Chelostoma incisulum",99
"311","Chelostoma minutum",483
"312","Chelostoma mocsaryi",9
"313","Chelostoma nasutum",1
"314","Chelostoma phaceliae",563
"315","Chelostoma philadelphi",1044
"316","Chelostoma rapunculi",9111
"317","Chelostoma styriacum",1
"318","Chelostoma ventrale",6
"319","Clavipanurgus punctiventris",21
"320","Colletes abeillei",47
"321","Colletes acutiformis",3
"322","Colletes acutus",13
"323","Colletes albomaculatus",72
"324","Colletes americanus",828
"325","Colletes anchusae",1
"326","Colletes brevigena",9
"327","Colletes capensis",384
"328","Colletes carinatus",12
"329","Colletes cariniger",19
"330","Colletes caskanus",14
"331","Colletes collaris",120
"332","Colletes compactus",1206
"333","Colletes cunicularius",16416
"334","Colletes daviesanus",10506
"335","Colletes dorsalis",7
"336","Colletes dusmeti",5
"337","Colletes eous",44
"338","Colletes escalerai",2
"339","Colletes floralis",1390
"340","Colletes fodiens",1114
"341","Colletes foveolaris",15
"342","Colletes gallicus",37
"343","Colletes graeffei",4
"344","Colletes halophilus",740
"345","Colletes hederae",12815
"346","Colletes hethiticus",40
"347","Colletes hylaeiformis",90
"348","Colletes impunctatus",892
"349","Colletes inaequalis",5291
"350","Colletes inexpectatus",65
"351","Colletes kincaidii",8155
"352","Colletes lacunatus",71
"353","Colletes ligatus",9
"354","Colletes maidli",21
"355","Colletes marginatus",891
"356","Colletes meyeri",3
"357","Colletes mlokossewiczi",114
"358","Colletes nanus",39
"359","Colletes nasutus",71
"360","Colletes nigricans",418
"361","Colletes perezi",25
"362","Colletes petalostemonis",485
"363","Colletes pulchellus",7
"364","Colletes pumilus",34
"365","Colletes punctatus",11
"366","Colletes rufotibialis",60
"367","Colletes schmidi",1
"368","Colletes sierrensis",30
"369","Colletes similis",2830
"370","Colletes simulans",1938
"371","Colletes succinctus",3487
"372","Colletes thoracicus",1642
"373","Colletes tuberculatus",9
"374","Colletes validus",392
"375","Colletes wolfi",2
"376","Dasypoda albimana",3
"377","Dasypoda argentata",756
"378","Dasypoda braccata",13
"379","Dasypoda cingulata",15
"380","Dasypoda crassicornis",28
"381","Dasypoda dusmeti",6
"382","Dasypoda hirtipes",22997
"383","Dasypoda maura",6
"384","Dasypoda morotei",13
"385","Dasypoda pyriformis",2
"386","Dasypoda pyrotrichia",2
"387","Dasypoda sinuata",7
"388","Dasypoda spinigera",56
"389","Dasypoda visnaga",24
"390","Diadasia angusticeps",109
"391","Diadasia diminuta",5369
"392","Diadasia enavata",2151
"393","Diadasia laticauda",342
"394","Diadasia nigrifrons",412
"395","Diadasia ochracea",3421
"396","Diadasia sphaeralcearum",410
"397","Diadasia tropicalis",152
"398","Diadasia vallicola",543
"399","Diadasina riparia",166
"400","Dianthidium simile",133
"401","Dieunomia heteropoda",1234
"402","Dufourea alpina",488
"403","Dufourea dentiventris",2573
"404","Dufourea halictula",386
"405","Dufourea inermis",407
"406","Dufourea minuta",459
"407","Dufourea monardae",181
"408","Dufourea paradoxa",240
"409","Eoanthidium clypeare",4
"410","Eoanthidium insulare",9
"411","Eucera alternans",6
"412","Eucera caspica",30
"413","Eucera clypeata",63
"414","Eucera cypria",6
"415","Eucera elongatula",24
"416","Eucera eucnemidea",10
"417","Eucera frater",925
"418","Eucera furfurea",12
"419","Eucera interrupta",285
"420","Eucera longicornis",7664
"421","Eucera nigrescens",3543
"422","Eucera nigrifacies",50
"423","Eucera nigrilabris",106
"424","Eucera notata",17
"425","Eucera primiveris",320
"426","Eucera proxima",24
"427","Eucera spectabilis",1
"428","Eucera taurica",45
"429","Euglossa cordata",3635
"430","Eulaema nigrita",2812
"431","Euryglossa aureophila",27
"432","Euryglossa morrisoni",97
"433","Flavipanurgus kastiliensis",7
"434","Flavipanurgus venustus",1
"435","Haetosmia circumventa",42
"436","Haetosmia vechti",1
"437","Halictus confusus",15111
"438","Halictus crenicornis",13
"439","Halictus ligatus",44196
"440","Halictus maculatus",3022
"441","Halictus pollinosus",83
"442","Halictus quadricinctus",1391
"443","Halictus rubicundus",28745
"444","Halictus scabiosae",14952
"445","Halictus subauratus",3242
"446","Halictus tumulorum",26505
"447","Heriades carinata",3092
"448","Heriades crenulata",750
"449","Heriades rubicola",227
"450","Heriades truncorum",18427
"451","Hofferia mauritanica",2
"452","Hoplitis adunca",3673
"453","Hoplitis annulata",36
"454","Hoplitis anthocopoides",543
"455","Hoplitis benoisti",89
"456","Hoplitis bihamata",26
"457","Hoplitis carinata",12
"458","Hoplitis christae",1
"459","Hoplitis cristatula",70
"460","Hoplitis dalmatica",129
"461","Hoplitis fertoni",10
"462","Hoplitis hartliebi",1
"463","Hoplitis hierichonica",5
"464","Hoplitis illustris",3
"465","Hoplitis lepeletieri",744
"466","Hoplitis loti",766
"467","Hoplitis manicata",36
"468","Hoplitis marchali",2
"469","Hoplitis mitis",1021
"470","Hoplitis monstrabilis",7
"471","Hoplitis mucida",7
"472","Hoplitis nisa",1
"473","Hoplitis pallicornis",25
"474","Hoplitis parana",3
"475","Hoplitis pici",7
"476","Hoplitis pilosifrons",1853
"477","Hoplitis praestans",47
"478","Hoplitis ravouxi",386
"479","Hoplitis robusta",663
"480","Hoplitis tigrina",3
"481","Hoplitis tuberculata",1553
"482","Hoplitis villosa",590
"483","Hoplitis zonalis",2
"484","Hylaeus alpinus",418
"485","Hylaeus angustatus",2130
"486","Hylaeus annulatus",7275
"487","Hylaeus brevicornis",6101
"488","Hylaeus clypearis",443
"489","Hylaeus communis",20312
"490","Hylaeus confusus",13406
"491","Hylaeus cornutus",576
"492","Hylaeus crassanus",45
"493","Hylaeus dilatatus",2585
"494","Hylaeus duckei",58
"495","Hylaeus gibbus",1236
"496","Hylaeus glacialis",79
"497","Hylaeus gredleri",1852
"498","Hylaeus hyalinatus",10659
"499","Hylaeus incongruus",1665
"500","Hylaeus kahri",386
"501","Hylaeus leptocephalus",1762
"502","Hylaeus moricei",49
"503","Hylaeus nigritus",2816
"504","Hylaeus nivalis",277
"505","Hylaeus paulus",166
"506","Hylaeus pectoralis",1707
"507","Hylaeus pfankuchi",222
"508","Hylaeus pictipes",1058
"509","Hylaeus pilosulus",45
"510","Hylaeus rinki",1560
"511","Hylaeus signatus",3561
"512","Hylaeus sinuatus",1225
"513","Hylaeus styriacus",761
"514","Hylaeus taeniolatus",282
"515","Hylaeus tyrolensis",120
"516","Hylaeus variegatus",1396
"517","Icteranthidium cimbiciforme",2
"518","Icteranthidium fedtschenkoi",4
"519","Icteranthidium ferrugineum",48
"520","Icteranthidium grohmanni",127
"521","Icteranthidium laterale",355
"522","Icteranthidium limbiferum",2
"523","Lasioglossum acuminatum",940
"524","Lasioglossum albipes",16432
"525","Lasioglossum albocinctum",161
"526","Lasioglossum anomalum",609
"527","Lasioglossum bimaculatum",23
"528","Lasioglossum brevicorne",618
"529","Lasioglossum calceatum",31796
"530","Lasioglossum cinctipes",1259
"531","Lasioglossum clypeare",86
"532","Lasioglossum convexiusculum",131
"533","Lasioglossum coriaceum",4670
"534","Lasioglossum corvinum",14
"535","Lasioglossum costulatum",576
"536","Lasioglossum cressonii",7897
"537","Lasioglossum cupromicans",1299
"538","Lasioglossum euboeense",112
"539","Lasioglossum foxii",1209
"540","Lasioglossum fulvicorne",13225
"541","Lasioglossum glabriusculum",2103
"542","Lasioglossum hitchensi",7152
"543","Lasioglossum imitatum",9535
"544","Lasioglossum immunitum",1
"545","Lasioglossum intermedium",257
"546","Lasioglossum interruptum",1148
"547","Lasioglossum laevigatum",2872
"548","Lasioglossum laevissimum",1684
"549","Lasioglossum laticeps",13131
"550","Lasioglossum lativentre",2824
"551","Lasioglossum leucopus",16272
"552","Lasioglossum leucozonium",17030
"553","Lasioglossum lineatulum",1731
"554","Lasioglossum lustrans",429
"555","Lasioglossum macoupinense",450
"556","Lasioglossum malachurum",11314
"557","Lasioglossum mediterraneum",23
"558","Lasioglossum monstrificum",415
"559","Lasioglossum morio",30501
"560","Lasioglossum nigripes",1470
"561","Lasioglossum pallens",385
"562","Lasioglossum paradmirandum",348
"563","Lasioglossum paraforbesii",645
"564","Lasioglossum parvulum",2579
"565","Lasioglossum pauperatum",129
"566","Lasioglossum pauxillum",13733
"567","Lasioglossum pectorale",4048
"568","Lasioglossum perpunctatum",497
"569","Lasioglossum pilosum",12431
"570","Lasioglossum prasinum",346
"571","Lasioglossum punctatissimum",4525
"572","Lasioglossum puncticolle",530
"573","Lasioglossum quebecense",2591
"574","Lasioglossum tricinctum",914
"575","Lasioglossum versans",1513
"576","Lasioglossum versatum",11759
"577","Lasioglossum villosulum",11330
"578","Lasioglossum xanthopus",1146
"579","Lasioglossum zonulum",11750
"580","Lipotriches cinerascens",25
"581","Lipotriches cribrosa",36
"582","Lipotriches hylaeoides",64
"583","Lipotriches tanganyicensis",9
"584","Lithurgus chrysurus",493
"585","Macropis europaea",8195
"586","Macropis fulvipes",2010
"587","Macropis nuda",948
"588","Macrotera texana",122
"589","Megachile alpicola",1709
"590","Megachile analis",1274
"591","Megachile apicalis",805
"592","Megachile centuncularis",7242
"593","Megachile ericetorum",4462
"594","Megachile flabellipes",55
"595","Megachile latimanus",3021
"596","Megachile maritima",1869
"597","Megachile mendica",5989
"598","Megachile nigriventris",1148
"599","Megachile pilicrus",160
"600","Megachile pugnata",2284
"601","Megachile rotundata",5248
"602","Meganomia binghami",141
"603","Melipona mimetica",6
"604","Melissodes desponsus",2673
"605","Melissodes illatus",323
"606","Melissodes subillatus",372
"607","Melitoma segmentaria",765
"608","Melitomella murihirta",24
"609","Melitta dimidiata",323
"610","Melitta haemorrhoidalis",5879
"611","Melitta leporina",4925
"612","Melitta nigricans",4163
"613","Melitta tricincta",1305
"614","Melitturga clavicornis",615
"615","Osmia alticola",49
"616","Osmia anceyi",62
"617","Osmia andrenoides",398
"618","Osmia apicata",21
"619","Osmia argyropyga",13
"620","Osmia atriventris",2094
"621","Osmia aurulenta",6059
"622","Osmia avosetta",41
"623","Osmia balearica",21
"624","Osmia bicornis",45020
"625","Osmia bidentata",45
"626","Osmia brevicornis",420
"627","Osmia brevis",1604
"628","Osmia bucephala",2019
"629","Osmia caerulescens",7307
"630","Osmia californica",1806
"631","Osmia carbo",17
"632","Osmia cerinthidis",74
"633","Osmia conjuncta",482
"634","Osmia cornifrons",2057
"635","Osmia cornuta",29693
"636","Osmia croatica",16
"637","Osmia difficilis",22
"638","Osmia distinguenda",16
"639","Osmia emarginata",12
"640","Osmia excavata",14
"641","Osmia fedtschenkoi",6
"642","Osmia gallarum",518
"643","Osmia glareola",1
"644","Osmia inermis",657
"645","Osmia labialis",190
"646","Osmia laticeps",179
"647","Osmia leaiana",3888
"648","Osmia lignaria",11039
"649","Osmia ligurica",77
"650","Osmia lunata",3
"651","Osmia maxillaris",1
"652","Osmia melanocephala",5
"653","Osmia montana",1726
"654","Osmia mustelina",476
"655","Osmia nigriventris",888
"656","Osmia nigrohirta",6
"657","Osmia niveata",1066
"658","Osmia padri",4
"659","Osmia parietina",1735
"660","Osmia pedicornis",16
"661","Osmia pilicornis",731
"662","Osmia pinguis",22
"663","Osmia pumila",5810
"664","Osmia rhodoensis",5
"665","Osmia ribifloris",1657
"666","Osmia scheherazade",12
"667","Osmia scutellaris",91
"668","Osmia spinigera",10
"669","Osmia spinulosa",3062
"670","Osmia steinmanni",17
"671","Osmia taurus",2773
"672","Osmia tergestensis",151
"673","Osmia tricornis",123
"674","Osmia uncicornis",6
"675","Osmia uncinata",1154
"676","Osmia xanthomelana",1031
"677","Othinosmia schultzei",107
"678","Panurginus albopilosus",10
"679","Panurginus herzi",249
"680","Panurginus montanus",336
"681","Panurgus banksianus",3364
"682","Panurgus calcaratus",7941
"683","Panurgus calceatus",10
"684","Panurgus canescens",13
"685","Panurgus cephalotes",9
"686","Panurgus dentipes",1072
"687","Panurgus maroccanus",86
"688","Panurgus perezi",5
"689","Patellapis communis",87
"690","Peponapis michelbacherorum",78
"691","Peponapis pruinosa",4477
"692","Peponapis utahensis",312
"693","Perdita floridensis",117
"694","Perdita octomaculata",1235
"695","Protomeliturga turnerae",179
"696","Protosmia minutula",74
"697","Pseudoanthidium eximium",6
"698","Pseudoanthidium melanurum",27
"699","Pseudoanthidium reticulatum",14
"700","Pseudoanthidium scapulare",54
"701","Ptilothrix bombiformis",4658
"702","Ptilothrix plumata",29
"703","Rhodanthidium aculeatum",3
"704","Rhodanthidium caturigense",140
"705","Rhodanthidium infuscatum",67
"706","Rhodanthidium septemdentatum",1016
"707","Rhodanthidium siculum",19
"708","Rhodanthidium sticticum",445
"709","Rhodanthidium superbum",1
"710","Rophites algirus",369
"711","Rophites quinquespinosus",163
"712","Samba ogilviei",182
"713","Scrapter niger",143
"714","Scrapter nitidus",468
"715","Stenoheriades asiatica",5
"716","Stenoheriades coelostoma",17
"717","Stenoheriades eingeddica",3
"718","Systropha curvicornis",222
"719","Systropha planidens",129
"720","Trachusa byssina",5427
"721","Trachusa dumerlei",16
"722","Trachusa interrupta",224
"723","Trachusa laticeps",3
"724","Trachusa pubescens",8
"725","Wainia eremoplana",4
"726","Xenoglossa angustior",232
"727","Xenoglossa patricia",124
"728","Xenoglossa strenua",515
"729","Xylocopa virginica",51392
